archivo,year_detectado,month_detectado,tri_detectado,year_conf,mes_conf,tri_conf
diciembre2008.sav,2008,NA,NA,0.5,0,0
junio2008.sav,2008,NA,NA,0.5,0,0
marzo2008.sav,2008,NA,NA,0.5,0,0
septiembre2008.sav,2008,NA,NA,0.5,0,0
diciembre2009.sav,2009,NA,NA,0.5,0,0
junio2009.sav,2009,NA,NA,0.5,0,0
marzo2009.sav,2009,NA,NA,0.5,0,0
septiembre2009.sav,2009,NA,NA,0.5,0,0
diciembre2010.sav,2010,NA,NA,0.5,0,0
junio2010.sav,2010,NA,NA,0.5,0,0
marzo2010.sav,2010,NA,NA,0.5,0,0
septiembre2010.sav,2010,NA,NA,0.5,0,0
diciembre2011.sav,2011,NA,NA,0.5,0,0
junio2011.sav,2011,NA,NA,0.5,0,0
marzo2011.sav,2011,NA,NA,0.5,0,0
septiembre2011.sav,2011,NA,NA,0.5,0,0
diciembre2012.sav,2012,NA,NA,0.5,0,0
junio2012.sav,2012,NA,NA,0.5,0,0
marzo2012.sav,2012,NA,NA,0.5,0,0
septiembre2012.sav,2012,NA,NA,0.5,0,0
diciembre2013.sav,2013,NA,NA,0.5,0,0
junio2013.sav,2013,NA,NA,0.5,0,0
marzo2013.sav,2013,NA,NA,0.5,0,0
septiembre2013.sav,2013,NA,NA,0.5,0,0
Diciembre2014.sav,2014,NA,NA,0.5,0,0
junio2014.sav,2014,NA,NA,0.5,0,0
marzo2014.sav,2014,NA,NA,0.5,0,0
septiembre2014.sav,2014,NA,NA,0.5,0,0
Diciembre2015.sav,2015,NA,NA,0.5,0,0
Junio2015.sav,2015,NA,NA,0.5,0,0
Septiembre2015.sav,2015,NA,NA,0.5,0,0
marzo2015.sav,2015,NA,NA,0.5,0,0
Junio2016.sav,2016,NA,NA,0.5,0,0
Marzo2016.sav,2016,NA,NA,0.5,0,0
Septiembre2016.sav,2016,NA,NA,0.5,0,0
Diciembre2017.sav,2017,NA,NA,0.5,0,0
Junio2017.sav,2017,NA,NA,0.5,0,0
Marzo2017.sav,2017,NA,NA,0.5,0,0
Septiembre2017.sav,2017,NA,NA,0.5,0,0
Junio2018.sav,2018,NA,NA,0.5,0,0
Marzo2018.sav,2018,NA,NA,0.5,0,0
Diciembre2019.sav,2019,NA,NA,0.5,0,0
Junio2019.sav,2019,NA,NA,0.5,0,0
Marzo2019.sav,2019,NA,NA,0.5,0,0
Septiembre2019.sav,2019,NA,NA,0.5,0,0
Base_web_Diciembre2020.sav,2020,NA,NA,0.5,0,0
Base_web_Septiembre2020.sav,2020,NA,NA,0.5,0,0
Junio2020.sav,2020,NA,NA,0.5,0,0
Marzo2020.sav,2020,NA,NA,0.5,0,0
Base_web_Diciembre2021s.sav,2021,NA,NA,0.5,0,0
Base_web_Junio2021s.sav,2021,NA,NA,0.5,0,0
Base_web_Septiembre2021.sav,2021,NA,NA,0.5,0,0
Base_web_Marzo2022.sav,2022,NA,NA,0.5,0,0
Base_web_Septiembre2022.sav,2022,NA,NA,0.5,0,0
Diciembre2022.sav,2022,NA,NA,0.5,0,0
