quarter,g_imacec,inflation,g_salario_real,u
2008Q2,2.2054849603261317,2.3001111059483215,-1.187582194028991,8.588211464452096
2008Q3,-5.2709247013248195,3.4611667797284973,2.791099327427915,8.34172879306871
2008Q4,7.123980884731118,1.4153485071997096,-8.193088666865478,10.383960658218271
2009Q1,-6.3437963165841715,-1.7115813685419035,3.1260206751023034,12.917903066271018
2009Q2,1.6261681974324205,-0.0684374947779176,2.807076699363442,12.626966739693287
2009Q3,-3.126397076912202,-0.2081519835939183,5.617234137544358,11.115561786501102
2009Q4,9.115323533681785,0.12215382981253242,-1.4702388873917727,11.135199054000788
2010Q1,-5.700906704726094,0.3754511961601814,-2.1463408793678695,10.811346954969252
2010Q2,5.927290342302349,0.8503008262339407,-7.880747443513236,9.52662721893491
2010Q3,-2.10969087136883,0.8277813868155626,-1.4765494072323193,8.448480063166206
2010Q4,9.069182848513702,0.4173686027837853,5.2096055567592,7.95499407816818
2011Q1,-4.483477602647223,0.7803365848308985,6.730765797819416,9.100020044097013
2011Q2,3.5928823708751167,1.2248472885273642,0.26489139587777544,8.603612351912993
2011Q3,-3.7739402989734216,0.6463219986868829,-2.889503511181246,7.6022231044065105
2011Q4,10.046681749886854,1.2827715205674828,1.215255682021521,6.439317953861584
2012Q1,-4.0188872324864455,0.9108007099759341,2.2631266088126267,8.407693833035891
2012Q2,4.040584049774587,0.21002294962810808,3.57312905462166,7.485566394584909
2012Q3,-3.6501676705304575,0.20263718366839711,3.918404051831814,7.083753784056508
2012Q4,9.009357213418934,0.8307358802324138,1.1443958093051876,5.511022044088176
2013Q1,-5.345069828944737,0.21525946863265588,0.08897564960061999,6.773071413955392
2013Q2,3.364101479411108,0.01681004010620768,10.542312793710629,6.555349412492269
2013Q3,-4.1416334973781055,1.021765508226835,-0.8893085224389807,6.139646869983949
2013Q4,8.864277134504306,1.0265509773813797,-0.6316761658659686,6.64301202444313
2014Q1,-5.671436694331167,1.3030197692823542,1.336853580114905,6.556372549019608
2014Q2,2.632245732424998,1.5773857194957053,-2.1339152308362586,7.248730964467005
2014Q3,-4.527001503744543,0.8737744201632758,-1.8111221331654548,6.303955029110621
2014Q4,9.278130754378555,1.5766299493687796,6.0749106576308165,6.8800954464108175
2015Q1,-4.92578775809589,0.2532032789954286,1.9412554910600122,7.172215371968763
2015Q2,2.2015316665700446,1.3864868853783463,-2.450180134482416,6.886416124291413
2015Q3,-4.3097022772802696,1.4227555411480353,-3.7503381660767943,7.553816046966732
2015Q4,8.849512698539375,0.9567786098119591,5.626218691601537,6.819529551294722
2016Q1,-3.8300930054934845,0.779288292111957,-5.614962551967295,9.45010183299389
2016Q2,0.5450664373387148,0.9694587638962915,3.6070795554072888,8.29079027976312
2016Q3,-3.5898935532700627,0.7288116359733365,3.056849659276928,7.600565999595714
2016Q4,7.749253222692332,0.3116296770888205,1.5573555443033626,6.825273010920437
2017Q1,-5.0759762162567945,0.7071363308694956,3.425530339296401,8.563425370148058
2017Q2,1.5910092204977744,0.527318278035338,3.78630882292903,8.17490494296578
2017Q3,-2.4257118990531623,0.10677629209263628,-5.312255305240576,7.6
2017Q4,9.05990104556178,0.6577170691862477,2.503221149298973,8.323424494649228
2018Q1,-3.799695934928149,0.6845024668422184,5.468751788041537,7.970719804798699
2018Q2,2.5171953656736967,0.6875490004678575,1.1600050061769451,7.360300250208507
2018Q3,-5.400996378768497,0.7430470477943985,-3.0473702121041057,7.62953896368829
2018Q4,10.157041857525062,0.6118930409365397,2.46357517099014,7.737743650324867
2019Q1,-6.037398748056599,0.23125485428936443,-4.548640762559053,8.162843562719571
2019Q2,2.4733695643456954,1.0092687031844072,4.421499782715443,8.922558922558922
2019Q3,-3.492520153424472,0.585056002267681,-2.373320520284139,9.178250204415372
2019Q4,4.275834849407634,0.967927490871201,1.6949466605010954,9.098164405426976
2020Q1,-3.4779300965877447,1.067756937032982,0.7611765520170621,18.87566680344686
2020Q2,-13.465976147575542,0.27083759607959834,0.7145765509132929,19.451219512195124
2020Q3,2.7245516881142073,0.3353793512545167,0.34874801433044667,15.598326359832637
2020Q4,14.236188419241902,1.1709614437943827,6.1159558465943675,12.421336529817202
2021Q1,-2.979203146379472,1.1273874913150905,3.0342845843000177,12.59247346413638
2021Q2,2.848105746414742,0.8930073499380242,-7.2686051506311244,11.122294916960241
2021Q3,0.8984548309713958,1.5797773836298212,-2.358452535616351,8.19150628280579
2021Q4,10.204511748170031,2.822713525818177,-1.7563579706489918,8.20710973724884
2022Q1,-8.034233419652814,2.6868945009972833,-7.606690021794726,9.95123713202095
2022Q2,1.329383773888626,3.813151341832288,-2.6857867347620967,8.875872944356837
2022Q3,-2.7820984187333586,3.470693663897517,2.049821847496247,8.80281690140845
2022Q4,7.3895589487857904,2.2300979668337995,-10.282077746301788,8.02532162548499
