h,irf,lower,upper,sample,dummy,p_used
0,0,0,0,Sin dummy (baseline),FALSE,4
1,-0.0024070094879820314,-0.013857843328370884,0.008956724457738761,Sin dummy (baseline),FALSE,4
2,0.01225646565062799,9.993424856482261e-4,0.02066670304709147,Sin dummy (baseline),FALSE,4
3,-0.0173934701567416,-0.027443693099674146,-0.0025864254648313247,Sin dummy (baseline),FALSE,4
4,0.008372022447991262,-0.0019964102906654606,0.01784167398309999,Sin dummy (baseline),FALSE,4
5,9.922644156114184e-4,-0.008503520205750474,0.012695139609186461,Sin dummy (baseline),FALSE,4
6,0.011833561842898112,7.162656124208063e-4,0.018029397620303436,Sin dummy (baseline),FALSE,4
7,-0.01075481810031456,-0.017620220067649715,-7.955803858911421e-4,Sin dummy (baseline),FALSE,4
8,0.0058624260403039,-0.0028165045320176964,0.012683286488051141,Sin dummy (baseline),FALSE,4
9,-0.0040445702357602515,-0.009998058728948645,0.00456324681413455,Sin dummy (baseline),FALSE,4
10,0.009130168139809608,2.7192585065530353e-4,0.013954814246254745,Sin dummy (baseline),FALSE,4
11,-0.006609670273644954,-0.012072031625008047,5.753347942196757e-4,Sin dummy (baseline),FALSE,4
12,0.0050415501086552884,-0.0024912486154420174,0.010257459977773095,Sin dummy (baseline),FALSE,4
0,0,0,0,Con dummy COVID,TRUE,4
1,-0.004510823324869313,-0.014594985238861052,0.007638779506161741,Con dummy COVID,TRUE,4
2,0.010509804185083503,-5.750144229790178e-4,0.018129114756677455,Con dummy COVID,TRUE,4
3,-0.017996333175468282,-0.026634057806404626,-0.004626201114136074,Con dummy COVID,TRUE,4
4,0.007783596035509006,-0.0013845170378813639,0.016572534446210076,Con dummy COVID,TRUE,4
5,0.0010076284964362554,-0.007404426384471436,0.011573088691472591,Con dummy COVID,TRUE,4
6,0.010250467918481167,-2.0588566223206077e-4,0.015989698113055353,Con dummy COVID,TRUE,4
7,-0.010608131443781015,-0.01671968526264137,-0.0013320308917053618,Con dummy COVID,TRUE,4
8,0.00651885061832166,-0.0012583664739430891,0.013326774758930035,Con dummy COVID,TRUE,4
9,-0.0030364584011106427,-0.008381035391371918,0.005144729126514785,Con dummy COVID,TRUE,4
10,0.009048748454588203,4.786081666456785e-4,0.013602638242244084,Con dummy COVID,TRUE,4
11,-0.007205635674080769,-0.012472240037420078,-2.1304875221452344e-4,Con dummy COVID,TRUE,4
12,0.00504139833398087,-0.0022827946552181366,0.009836896524822574,Con dummy COVID,TRUE,4
