h,irf,lower,upper
0,0,0,0
1,-0.0024405364376405025,-0.012716956198913843,0.00867630714180197
2,7.688930707392201e-4,-0.008292477162302449,0.00954168426164486
3,-0.007928805248346606,-0.01563546853477348,0.002543045813799861
4,0.0054547888643644606,-0.002340604813151638,0.012432375965967241
5,0.002689810610781438,-0.004258046042777154,0.008902635575633968
6,9.210484343042031e-4,-0.00541418340175797,0.006212152791935861
7,0.0016599626191726603,-0.0032995213906072533,0.006830439216560457
8,5.559890834250338e-4,-0.003888237358982062,0.004639775433724896
9,3.7797028370786096e-4,-0.003444640920521525,0.0036296674899627306
10,-9.394548515617376e-4,-0.004091158342717838,0.002433845660480001
11,2.77643378805733e-4,-0.002862807461543996,0.0032213086731512327
12,2.1043792419636677e-4,-0.0024204537654765575,0.002975861184279164
